,time,evlo,evla,dep,mag
364,2010-1-08 13:58:02,86.92,43.85,14,0.2
365,2010-1-08 08:39:26,87.29,43.80,7,0.2
366,2010-1-07 05:48:17,87.39,43.85,6,0.2
367,2010-1-05 08:33:42,87.11,43.72,7,0.4
368,2010-1-05 07:55:43,87.26,43.77,7,0.3
369,2010-1-03 07:57:26,87.07,44.29,7,0.6
370,2010-1-03 07:46:43,86.94,44.28,10,0.8
371,2010-1-01 21:08:34,87.37,43.68,8,0.6
372,2010-1-01 15:56:19,87.16,43.79,6,0.5
373,2010-1-01 12:08:37,87.15,43.82,13,0.1
